"metric_name","Description","frequency","freq_label","n_coverages","coverages","temporal_agg","temporal_reason","coverage_agg","coverage_reason"
"Patients in A&E","Current total number of patients in minors, majors, (all A&E) those who do not have an Accident and Emergency departure time recorded.",15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","mean","Point-in-time snapshot; daily mean captures average load throughout the day.","sum","Count or volume metric; summing across sites gives the system-wide total."
"4hr Breach Performance","Live 4 hour breach performance today since midnight, this will not have been subject to daily validation procedures usually undertaken the following day. Likely that this performance will be below the validated position.",15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","mean","Rate or percentage; daily mean reflects average performance over the day.","mean","Rate, average, or percentage; mean across sites approximates the system-wide value (weighted mean preferred if volumes available)."
"Total Breaches Since Midnight","This relates to the 4 hour breach performance and is the number of 4 hour breaches since midnight so far today.",15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"No. of DTAs","Total number of DTAs currently in the A&E. A PATIENT temporarily accommodated in A&E or elsewhere for whom a DECISION TO ADMIT has been made.",15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","mean","Point-in-time snapshot; daily mean captures average load throughout the day.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Average Time to Triage",NA,15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","mean","Time or average metric; daily mean represents typical performance across the day.","mean","Rate, average, or percentage; mean across sites approximates the system-wide value (weighted mean preferred if volumes available)."
"Average Time to Assessment",NA,15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","mean","Time or average metric; daily mean represents typical performance across the day.","mean","Rate, average, or percentage; mean across sites approximates the system-wide value (weighted mean preferred if volumes available)."
"New Arrivals in Last Hour","Count of patients within the last hour, who have an arrived at Accident and Emergency Department where the time the PATIENT: •self presented at the Accident and Emergency Department or •arrived in an Ambulance at the Accident and Emergency Department.",15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","sum","Flow count over a rolling window; summing intervals gives the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Resuscitation Capacity","The number of allocated resuscitation bays not occupied",15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","mean","Point-in-time snapshot; daily mean captures average load throughout the day.","sum","Count or volume metric; summing across sites gives the system-wide total."
"A&E Discharges in Last Hour","Within the last hour, count of how many patients have an Accident and Emergency Departure Time. Where a  PATIENT leaves an Accident and Emergency Department after an Accident and Emergency Attendance has concluded.",15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","sum","Flow count over a rolling window; summing intervals gives the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Minors patient count",NA,15,"Every 15 minutes",4,"BRI (Children's), NBT, BRI, WGH","mean","Point-in-time snapshot; daily mean captures average load throughout the day.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Cohorting & Reverse Queue",NA,15,"Every 15 minutes",3,"BRI, NBT, WGH","mean","Point-in-time snapshot; daily mean captures average load throughout the day.","sum","Count or volume metric; summing across sites gives the system-wide total."
"No. of DTAs (> 8hrs)","A count of patients who have a DECISION TO ADMIT time equal or greater to 8 hours.",15,"Every 15 minutes",4,"NBT, WGH, BRI, BRI (Children's)","mean","Point-in-time snapshot; daily mean captures average load throughout the day.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Majors patient count",NA,15,"Every 15 minutes",4,"NBT, BRI (Children's), WGH, BRI","mean","Point-in-time snapshot; daily mean captures average load throughout the day.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Ambulance Queue","Patients onsite and awaiting ambulance offload to acute care",15,"Every 15 minutes",3,"NBT, BRI, WGH","mean","Point-in-time snapshot; daily mean captures average load throughout the day.","sum","Count or volume metric; summing across sites gives the system-wide total."
"DtA Community P2 Bed Occupied",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P1 BOOKED AND UN-BOOKED Waiting for capacity, medically fit and NOT in an acute",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P1 BOOKED AND UN-BOOKED Waiting for capacity, medically fit and ready to leave ACUTE",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P1 BOOKED Waiting for capacity, medically fit and NOT in an acute",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P1 BOOKED Waiting for capacity, medically fit and ready to leave ACUTE",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P1 Referrals Received",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P1 slots booked",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P2 Beds Occupied",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P2 BOOKED Waiting for capacity, medically fit and ready to leave ACUTE",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P2 Referrals Received",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P3 BOOKED AND UN-BOOKED Waiting for capacity, medically fit and ready to leave ACUTE",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P3 BOOKED Waiting for capacity, medically fit and ready to leave ACUTE",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA SBRU P2 rehabilitation beds occupied",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA SBRU P2 stroke beds occupied",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"No of referrals received for DtA P3",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Patients Admitted to DtA P2 - YESTERDAY'S DATA",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Patients Admitted to DtA P3 - YESTERDAY'S DATA",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P2 referrals received",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P2 TOTAL BOOKED AND UN-BOOKED Waiting for capacity, medically fit and ready to leave ACUTE",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Sirona BNSSG % Staffing Reduction",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Sirona ICE Bristol Locality % Staffing Reduction",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Sirona N&W Bristol Locality % Staffing Reduction",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Sirona SASS % Staffing Reduction",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Sirona South Bristol Locality % Staffing Reduction",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Sirona South Glos Locality % Staffing Reduction",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Sirona Weston & Worle Locality % Staffing Reduction",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Sirona Woodspring Locality % Staffing Reduction",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Closed TOC Docs to all pathways",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P3 beds occupied",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P1 TOTAL (BOOKED AND UNBOOKED) Waiting for capacity and medically fit, and in any setting (acute and non-acute)",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P1 UNBOOKED Waiting for capacity, medically fit and NOT in an acute",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P3 TOTAL (BOOKED AND UNBOOKED) Waiting for capacity and medically fit and in any setting (acute and transitional bed)",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P3 UNBOOKED Waiting for capacity, medically fit and ready to leave acute",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P1 UNBOOKED Waiting for capacity, medically fit and ready to leave acute",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"DtA P2 UNBOOKED Waiting for capacity, medically fit and ready to leave acute",NA,1440,"Every day at 11h00",1,"Sirona","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"(Severnside) HCP Calls Answered",NA,1440,"Every day at 11h00",1,"SevernSide","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Number of critical care beds available at 8am (today)",NA,1440,"Every day at 11h00",1,"BRI","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Number of empty beds on assessment units 8am (today)",NA,1440,"Every day at 11h00",1,"BRI","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Number of GP expected diverts to ED",NA,1440,"Every day at 11h00",1,"BRI","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Number of Medical Outliers",NA,1440,"Every day at 11h00",1,"BRI","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Number of empty beds on assessment units 8am (today) - Medicine",NA,1440,"Every day at 11h00",1,"BRI","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Number of empty beds on assessment units 8am (today) - Surgery",NA,1440,"Every day at 11h00",1,"BRI","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Deficit of Discharges at 1100 - With Definite Discharges Known",NA,1440,"Every day at 11h00",1,"BRI","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Deficit of Discharges at 1100 - With Definite and Potential Discharges Identified",NA,1440,"Every day at 11h00",1,"BRI","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Number of Surgical Outliers",NA,1440,"Every day at 11h00",1,"BRI","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Number of Cardiac Outliers",NA,1440,"Every day at 11h00",1,"BRI","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Resuscitation Capacity at 1000",NA,1440,"Every day at 11h00",1,"BRI","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Number of Outliers (excluding paediatrics) at 1000",NA,1440,"Every day at 11h00",1,"BRI","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"(SWASFT) Number of HCP Incidents",NA,1440,"Every day at 11h00",1,"SWASFT","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"(SWASFT) Number of NHS 111 Incidents",NA,1440,"Every day at 11h00",1,"SWASFT","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"(Severnside) Calls Received",NA,1440,"Every day at 11h00",1,"SevernSide","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"(Severnside) Calls Answered",NA,1440,"Every day at 11h00",1,"SevernSide","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"(Severnside) Calls Answered Within 60 Seconds",NA,1440,"Every day at 11h00",1,"SevernSide","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"(Severnside) Calls Triaged",NA,1440,"Every day at 11h00",1,"SevernSide","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"(Severnside) Referred to 999 - C1 Ambulances",NA,1440,"Every day at 11h00",1,"SevernSide","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"(Severnside) Referred to 999 - C2 Ambulances",NA,1440,"Every day at 11h00",1,"SevernSide","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"(Severnside) Referred to 999 - C3 Ambulances",NA,1440,"Every day at 11h00",1,"SevernSide","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"(Severnside) Referred to 999 - C4 Ambulances",NA,1440,"Every day at 11h00",1,"SevernSide","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"(Severnside) Referred to ED",NA,1440,"Every day at 11h00",1,"SevernSide","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Number of Discharges",NA,1440,"Every day at 11h00",3,"WGH, NBT, BRI","none","Already at daily granularity; no temporal aggregation needed.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Number of Admissions",NA,1440,"Every day at 11h00",3,"WGH, NBT, BRI","none","Already at daily granularity; no temporal aggregation needed.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Escalation beds open",NA,1440,"Every day at 11h00",3,"WGH, NBT, BRI","none","Already at daily granularity; no temporal aggregation needed.","max","Escalation score; system-wide pressure is defined by the most stressed site."
"G&A Bed occupancy",NA,1440,"Every day at 11h00",3,"WGH, NBT, BRI","none","Already at daily granularity; no temporal aggregation needed.","mean","Rate, average, or percentage; mean across sites approximates the system-wide value (weighted mean preferred if volumes available)."
"Critical Care beds - Adult critical care beds occupied",NA,1440,"Every day at 11h00",2,"WGH, BRI","none","Already at daily granularity; no temporal aggregation needed.","sum","Count or volume metric; summing across sites gives the system-wide total."
"A&E attends - paediatrics",NA,1440,"Every day at 11h00",2,"NBT, BRI","none","Already at daily granularity; no temporal aggregation needed.","sum","Count or volume metric; summing across sites gives the system-wide total."
"G&A beds, core stock open",NA,1440,"Every day at 11h00",1,"NBT","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Beds occupied by long-stay patients (21+ days)",NA,1440,"Every day at 11h00",2,"NBT, BRI","none","Already at daily granularity; no temporal aggregation needed.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Adult critical care beds occupied",NA,1440,"Every day at 11h00",1,"NBT","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Critical Care beds - Paediatric intensive care beds occupied",NA,1440,"Every day at 11h00",1,"BRI","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Critical Care beds - Neonatal intensive care cots occupied",NA,1440,"Every day at 11h00",1,"BRI","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Of neonatal critical care beds occupied, how many are level 3?",NA,1440,"Every day at 11h00",1,"NBT","none","Already at daily granularity; no temporal aggregation needed.","none","Single coverage area; no cross-site aggregation needed."
"Ambulance Handovers 15mins (Last Hour)",NA,15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","sum","Flow count over a rolling window; summing intervals gives the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Ambulance Handovers 30 mins (Last Hour)",NA,15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","sum","Flow count over a rolling window; summing intervals gives the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Ambulance Handovers 60 mins (Last Hour)",NA,15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","sum","Flow count over a rolling window; summing intervals gives the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Ambulance Handovers 15mins (Since Midnight)",NA,15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Ambulance Handovers 30mins (Since Midnight)",NA,15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Ambulance Handovers 60mins (Since Midnight)","Ambulance Handovers 60mins (Since Midnight)",15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Handover to Clear 15mins (Last Hour)",NA,15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","sum","Flow count over a rolling window; summing intervals gives the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Handover to Clear 30mins (Last Hour)",NA,15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","sum","Flow count over a rolling window; summing intervals gives the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Handover to Clear 15mins (Since Midnight)",NA,15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Handover to Clear 30mins (Since Midnight)",NA,15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Handover to Clear 60mins (Since Midnight)",NA,15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Ambulances Conveyed to Hospital (Last Hour)","As per NHSEI sitrep for NACC",15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","sum","Flow count over a rolling window; summing intervals gives the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Ambulances Conveyed to Hospital (Since Midnight)","Ambulances Conveyed to Hospital (Since Midnight)",15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Handover Time Lost Since Midnight (hh:mm)","Handover Time Lost Since Midnight (in hh:mm over 15 minutes)",15,"Every 15 minutes",4,"BRI, BRI (Children's), WGH, NBT","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Ambulances En Route to Hospital",NA,15,"Every 15 minutes",5,"BRI, BRI (Children's), WGH, BNSSG, NBT","mean","Point-in-time snapshot; daily mean captures average load throughout the day.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Number of Active Calls on the 999 Call Stack",NA,15,"Every 15 minutes",1,"BNSSG","mean","Point-in-time snapshot; daily mean captures average load throughout the day.","none","Single coverage area; no cross-site aggregation needed."
"Number of Waiting Calls on the 999 Call Stack",NA,15,"Every 15 minutes",1,"BNSSG","mean","Point-in-time snapshot; daily mean captures average load throughout the day.","none","Single coverage area; no cross-site aggregation needed."
"Proportion of Calls Since Midnight that Received a See Convey",NA,15,"Every 15 minutes",1,"BNSSG","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Proportion of Calls Since Midnight that Received a See Treat",NA,15,"Every 15 minutes",1,"BNSSG","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Proportion of Calls Since Midnight that Received a Hear Treat",NA,15,"Every 15 minutes",1,"BNSSG","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Category 1 - BNSSG Mean Response (Since Midnight)",NA,15,"Every 15 minutes",1,"BNSSG","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Category 2 - BNSSG Mean Response (Since Midnight)",NA,15,"Every 15 minutes",1,"BNSSG","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Category 3 - BNSSG Mean Response (Since Midnight)",NA,15,"Every 15 minutes",1,"BNSSG","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Category 1 - BNSSG 90th Response (Last Hour)",NA,15,"Every 15 minutes",1,"BNSSG","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Category 2 - BNSSG 90th Response (Last Hour)",NA,15,"Every 15 minutes",1,"BNSSG","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"Category 3 - BNSSG 90th Response (Last Hour)",NA,15,"Every 15 minutes",1,"BNSSG","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
"OPEL",NA,1440,"Every day at 9h00",12,"BNSSG, Bristol City Council, BRI, WGH, NBT, SevernSide, BNSSG Adult Health Community Services, South Gloucestershire Council, North Somerset Council, BRI (Children's), AWP, SWAST","none","Already at daily granularity; no temporal aggregation needed.","max","Escalation score; system-wide pressure is defined by the most stressed site."
"Ambulances En Route to Hospitals",NA,15,"Every 15 minutes",5,"BNSSG, BRI (Children's), BRI, WGH, NBT","mean","Point-in-time snapshot; daily mean captures average load throughout the day.","sum","Count or volume metric; summing across sites gives the system-wide total."
"Category 4 - BNSSG Mean Response (Since Midnight)",NA,15,"Every 15 minutes",1,"BNSSG","max","Cumulative counter resetting at midnight; the last (max) value of the day equals the daily total.","none","Single coverage area; no cross-site aggregation needed."
